,1,receiveTime
1,5536,2
1,5548,4
1,55311,7
1,55413,9
1,55316,12
1,55318,15
1,55322,18
1,55324,21
1,55328,24
1,55631,26
1,55533,29
1,55336,31
1,55338,34
1,55540,36
1,55343,39
1,55545,41
1,55348,44
1,55350,46
1,55353,49
1,55555,51
1,55357,54
1,55560,56
1,55362,58
1,55365,61
1,55367,63
1,55370,66
1,55373,68
1,55575,71
1,55378,73
1,55380,76
1,55383,78
1,55385,81
1,55387,83
1,55890,86
1,55392,88
1,55395,91
1,55497,93
1,55399,96
1,553102,98
1,588104,101
1,553107,103
1,553110,106
1,553113,109
1,554116,111
1,553118,114
1,553121,117
1,588124,119
1,553126,122
1,553129,125
1,553132,128
1,583134,130
1,554137,133
1,553140,136
1,553142,138
1,553145,141
1,553147,143
1,553149,146
1,555152,148
1,554155,151
1,553158,153
1,553160,155
1,552162,158
1,553165,160
1,553167,163
1,561169,165
1,553172,168
1,553174,170
1,553177,173
1,553179,175
1,553182,178
1,555184,180
1,553187,183
1,565189,185
1,553191,188
1,553194,190
1,553197,193
1,562200,195
1,553202,198
1,559205,200
1,553207,203
1,553210,205
1,553212,208
1,554214,210
1,555217,214
1,556220,216
1,553223,219
1,552225,221
1,553228,224
1,561231,227
1,553233,229
1,559236,232
1,553240,235
1,554242,238
1,553245,240
1,553247,242
1,559249,245
1,553252,247
1,553254,250
1,553257,253
1,553260,256
1,554262,258
1,554264,261
1,554267,263
1,553269,266
1,553272,268
1,553274,271
1,553277,273
1,555279,276
1,553283,278
1,554285,281
1,553289,284
1,553291,287
1,553294,289
1,556296,293
1,553299,295
1,553302,298
1,553304,300
1,553306,303
1,554310,306
1,553312,308
1,554314,311
1,553318,314
1,553320,317
1,553323,319
1,553326,322
1,555329,324
1,553331,327
1,553334,329
1,553336,332
1,553339,335
1,553341,337
1,554344,340
1,554346,343
1,554349,345
1,553352,348
1,553354,350
1,554357,354
1,588360,356
1,553362,359
1,553365,362
1,553369,365
1,553371,367
1,554374,370
1,585376,373
1,557379,375
1,553382,378
1,553384,380
1,553388,384
1,572390,386
1,554392,389
1,563395,392
1,553398,394
1,553401,397
1,553403,399
1,553406,403
1,556409,405
1,554412,408
1,553415,411
1,553417,413
1,553420,416
1,556422,418
1,553425,421
1,558427,423
1,553430,426
1,553432,428
1,555434,431
1,561438,434
1,553440,436
1,554443,439
1,553445,442
1,553448,444
1,554450,447
1,553454,449
1,555456,452
1,554458,454
1,553461,457
1,553463,459
1,553467,462
1,554469,465
1,553471,467
1,555474,470
1,553477,473
1,553479,476
1,553482,478
1,589484,481
1,553487,483
1,590489,486
1,554492,488
1,553494,491
1,554498,493
1,553500,496
1,589503,498
1,555505,501
1,553507,503
1,553510,506
1,553512,508
1,553515,511
1,554518,514
1,553520,516
1,554522,519
1,553525,521
1,553527,524
1,553530,526
1,556532,529
1,553535,531
1,555537,534
1,553540,536
1,553543,539
1,553545,541
1,553548,544
1,553550,546
1,554553,549
1,555555,551
1,555558,554
1,553560,556
1,554562,559
1,553565,562
1,562568,564
1,553570,567
1,553573,569
1,553575,572
1,553578,574
1,553581,577
1,554584,579
1,554586,582
1,553589,584
1,553591,587
1,553594,590
1,555597,593
1,554599,595
1,567602,598
1,553605,601
1,553607,604
1,553610,606
1,553612,609
1,553615,612
1,553618,614
1,553620,617
1,553624,620
1,553627,623
1,553630,625
1,589632,628
1,557635,631
1,553638,634
1,553640,636
1,553642,639
1,553645,642
1,554648,644
1,555650,647
1,553653,649
1,553655,651
1,553657,654
1,553660,656
1,554662,660
1,553665,662
1,553669,665
1,553671,667
1,553675,671
1,553677,673
1,590680,676
1,553682,678
1,553685,681
1,553687,684
1,553690,686
1,561692,689
1,554696,692
1,590698,695
1,553701,697
1,553704,700
1,553706,703
1,555710,705
1,555712,708
1,553714,710
1,553717,713
1,553719,715
1,553722,718
1,556724,721
1,553727,723
1,555729,726
1,553732,728
1,553734,730
1,553736,733
1,591739,735
1,553741,738
1,553744,741
1,553747,743
1,553749,746
1,552753,748
1,552755,751
1,560757,753
1,553760,756
1,592762,758
1,553765,761
1,553767,763
1,553769,765
1,553772,768
1,555774,770
1,555777,773
1,553779,775
1,553782,778
1,553784,781
1,590786,783
1,553789,786
1,565791,789
1,553795,791
1,553798,794
1,553800,796
1,553804,800
1,556806,802
1,553809,805
1,553811,807
1,553814,810
1,553816,813
1,555819,815
1,553821,818
1,555824,820
1,553826,823
1,553829,825
1,553831,828
1,553834,830
1,588837,833
1,553839,835
1,562842,838
1,553844,840
1,553847,843
1,553849,845
1,555852,848
1,555854,850
1,555857,853
1,553859,856
1,553862,858
1,555864,861
1,553867,863
1,591869,866
1,553872,869
1,553875,872
1,553877,874
1,553881,877
1,553883,879
1,560886,882
1,555888,884
1,553891,887
1,553893,889
1,553896,892
1,554898,894
1,557900,897
1,553903,899
1,563905,901
1,553907,904
1,553910,906
1,553912,909
1,558915,912
1,553917,914
1,555920,917
1,553923,919
1,553926,922
1,553928,924
1,553931,928
1,553934,930
1,554936,933
1,553939,935
1,553941,938
1,553944,940
1,553946,943
1,591949,945
1,553951,948
1,553954,950
1,553956,953
1,553959,955
1,554962,959
1,585965,961
1,554968,964
1,553970,967
1,553973,969
1,553976,972
1,553978,975
1,590981,977
1,553983,980
1,553986,982
1,553988,985
1,553991,987
1,553993,990
1,555996,992
1,553998,995
1,5541001,997
